MSE,SSIM,PixelCorr,PSNR,FID_like,CLIP_like,Sample,Fold
0.033259712,0.729177039203211,0.8057373,14.780815221499426,0.0017716873,0.8335427,1,1
0.03339597,0.7619730192726076,0.8418392,14.763059695080155,0.00034586177,0.87023085,2,1
0.04390895,0.6479093889303674,0.7783222,13.574469202993921,0.0011328198,0.8173244,3,1
0.026804939,0.7737095207408886,0.8841734,15.717851639174537,0.0031925763,0.9034096,4,1
0.034354888,0.6378876476912471,0.7504952,14.640114389621864,0.001119247,0.78167224,5,1
0.030225156,0.7051291613866506,0.8046514,15.196314884444453,0.00025499068,0.83164716,6,1
0.03598629,0.7690873454252262,0.8172781,14.438629435721692,0.0017901852,0.84501183,7,1
0.048143066,0.6581103736641749,0.774058,13.174662055689964,0.00013346222,0.8125978,8,1
0.01592265,0.8278315199639125,0.8991345,17.979846052167364,0.00017575544,0.91230965,9,1
0.03405422,0.7495172568154329,0.84149,14.678290183096818,0.00014868214,0.8692107,10,1
0.017323948,0.8468112899683231,0.9028821,17.61353130892542,0.0006596375,0.9166566,1,2
0.028531967,0.7639135829402011,0.8645855,15.446682644886065,0.0003708339,0.88918406,2,2
0.07181207,0.5338197623660705,0.68783736,11.438025638647032,0.0059563415,0.745675,3,2
0.034619506,0.7481982214140613,0.8484093,14.6067917481448,0.0003727814,0.8744659,4,2
0.023559326,0.7543877506492013,0.8588642,16.27837125093794,0.0033112825,0.8757497,5,2
0.034348015,0.7014454742920034,0.7605647,14.640983313871217,0.00016816905,0.79305357,6,2
0.03316735,0.7254666713641741,0.83559144,14.792891970469801,0.003440123,0.8576197,7,2
0.032335438,0.7253024187468161,0.8432894,14.903212353207225,0.0009037041,0.87053525,8,2
0.017178595,0.8185391152553715,0.8832418,17.650123484823933,0.00048342664,0.8977157,9,2
0.03110595,0.7424451988853066,0.8740101,15.071565238449182,0.0022888249,0.8963172,10,2
0.016557962,0.8335270675862293,0.9063817,17.809931730637857,0.0003709248,0.92071825,1,3
0.05659924,0.6075075714991328,0.7235593,12.471893825379398,0.0015757519,0.7704438,2,3
0.055569366,0.5310335587738103,0.7204654,12.55164549635558,0.0015708946,0.7708981,3,3
0.04139616,0.7412707756123359,0.8181393,13.830399533377005,0.0055527473,0.8444754,4,3
0.019195283,0.7788290156682661,0.8349191,17.168054695980366,0.00020755496,0.8545111,5,3
0.021252498,0.7846593854887304,0.84933245,16.725900485602374,0.00055045326,0.86910814,6,3
0.029965162,0.7366928636184932,0.8561841,15.233833637394913,0.004625646,0.8741846,7,3
0.04894506,0.6766792973641774,0.76466405,13.10291112701341,0.0008005969,0.80290955,8,3
0.027966963,0.7283122724129949,0.8043925,15.533546828178448,0.000947803,0.828994,9,3
0.019182675,0.7987948745916779,0.9131019,17.170908299686612,0.0004842178,0.928187,10,3
0.048252244,0.3227669199498879,0.69250166,13.164825336476486,0.012014203,0.7453521,1,4
0.056995396,0.38857660836851404,0.70515203,12.441602076354508,0.018744456,0.76737726,2,4
0.057468493,0.3206066162577274,0.613965,12.405701983681489,0.011693425,0.6904954,3,4
0.051299777,0.3846452780900627,0.78997076,12.898845408557971,0.022756334,0.82699937,4,4
0.04494307,0.3161196249573414,0.58547115,13.473372597030398,0.0050819283,0.6441616,5,4
0.04338717,0.3313711222669125,0.6611414,13.62638693297066,0.007294511,0.71105504,6,4
0.057285774,0.27636675533515453,0.68117386,12.4195319993193,0.017270561,0.7393893,7,4
0.068548806,0.2599884924696476,0.6151806,11.640001036019934,0.01913308,0.69546914,8,4
0.04735006,0.31034519531789373,0.63584113,13.24679443671851,0.008115264,0.68941474,9,4
0.0703226,0.25654819835800247,0.57811815,11.52905068534626,0.01700481,0.66740626,10,4
0.0155975865,0.8557354695864083,0.91287154,18.069425849661393,0.0010193869,0.9255266,1,5
0.032370675,0.7506039888840477,0.84508175,14.898482702833643,0.0019728886,0.87106586,2,5
0.038319346,0.6644841399936636,0.81945693,14.16581905189618,0.0024765502,0.85097116,3,5
0.033452682,0.7475120609593462,0.85251224,14.755690347624125,0.0022618955,0.87586045,4,5
0.025600925,0.7437258742745843,0.8066048,15.917443336779355,0.00060243695,0.8303429,5,5
0.026348008,0.7541948669947961,0.82700175,15.792522451276849,0.00012413958,0.850608,6,5
0.036110707,0.7349995558461836,0.8213867,14.423639831281971,0.0051429914,0.8446227,7,5
0.04691703,0.6677478744474254,0.7744351,13.286694495148005,0.00067180913,0.81186074,8,5
0.019995071,0.7959665163936794,0.86891955,16.9907704866826,7.833222e-05,0.8861449,9,5
0.02681453,0.7837759686023245,0.88179314,15.716298237790392,0.0007236151,0.90262973,10,5
